n_estimators,max_depth,learning_rate,subsample,colsample_bytree,auc_score,train_time_sec
300,10,0.01,1.0,0.8,0.7978290901733577,13.612942218780518
300,8,0.01,1.0,0.8,0.7976586603794891,11.700061082839966
300,6,0.01,1.0,1.0,0.7972496765319643,9.978102207183838
300,8,0.01,1.0,1.0,0.796639211621277,12.272826671600342
300,4,0.01,1.0,0.8,0.796166910752347,6.913196563720703
300,4,0.01,1.0,1.0,0.7959524434738539,7.773609638214111
300,10,0.01,1.0,1.0,0.7952818888948305,14.283297538757324
1000,6,0.001,0.8,0.8,0.7930288385971164,28.317365169525146
1000,8,0.001,0.8,0.8,0.7925827259584076,36.49148154258728
1000,4,0.001,0.8,0.8,0.79253134514105,18.73636817932129
1000,10,0.001,0.8,0.8,0.7924887008483217,40.766907930374146
800,6,0.001,0.8,0.8,0.7906966910597236,23.762293815612793
800,8,0.001,0.8,0.8,0.7903057908515733,31.195918560028076
800,10,0.001,0.8,0.8,0.7902421157353333,41.880460262298584
800,4,0.001,0.8,0.8,0.7900176177018501,15.301012516021729
100,4,0.01,0.8,0.8,0.7891675111331691,3.6216228008270264
1000,4,0.001,1.0,0.8,0.7888391168388711,18.55992889404297
100,6,0.01,0.8,0.8,0.788812070628407,4.487592697143555
100,8,0.01,0.8,0.8,0.7887707878981388,5.086438894271851
600,6,0.001,0.8,0.8,0.7887017732003568,17.373528480529785
100,10,0.01,0.8,0.8,0.7885206850039427,5.698369264602661
600,8,0.001,0.8,0.8,0.7884696700051522,23.440751552581787
600,10,0.001,0.8,0.8,0.7883331820533078,26.90722680091858
600,4,0.001,0.8,0.8,0.7873157996393422,11.732881307601929
1000,8,0.001,1.0,0.8,0.7869377359769723,40.37555956840515
1000,10,0.001,1.0,0.8,0.7868986279349189,45.8738808631897
1000,6,0.001,1.0,0.8,0.7868420618708148,30.025026559829712
1000,4,0.001,0.8,1.0,0.7863687158837422,20.14344024658203
1000,6,0.001,0.8,1.0,0.786308142751005,30.461972951889038
1000,8,0.001,0.8,1.0,0.7861075539605114,37.7775022983551
1000,10,0.001,0.8,1.0,0.7857976506874567,41.962387561798096
800,4,0.001,1.0,0.8,0.7834326104901034,15.616599321365356
300,6,0.001,0.8,0.8,0.7831436948607801,9.13901400566101
300,8,0.001,0.8,0.8,0.7831414891277644,11.574320077896118
300,10,0.001,0.8,0.8,0.7830350921266774,13.594612121582031
800,8,0.001,1.0,0.8,0.7824430276542782,34.0409300327301
800,10,0.001,1.0,0.8,0.782355963782121,44.206523418426514
800,6,0.001,1.0,0.8,0.7821725050652063,24.76327109336853
100,4,0.01,1.0,0.8,0.7820646051807731,3.401198148727417
800,4,0.001,0.8,1.0,0.7814297831138035,16.86307120323181
800,6,0.001,0.8,1.0,0.7813159704244657,24.7721209526062
100,4,0.01,0.8,1.0,0.7812875322662959,3.755643367767334
800,8,0.001,0.8,1.0,0.781084785731032,32.64904069900513
800,10,0.001,0.8,1.0,0.7808292295486694,43.623180627822876
300,4,0.001,0.8,0.8,0.7807698361320281,7.092641115188599
100,6,0.01,1.0,0.8,0.7807692323936306,4.361368179321289
100,6,0.01,0.8,1.0,0.780614970780861,5.117610454559326
100,10,0.01,1.0,0.8,0.7802988696643464,5.6610918045043945
100,8,0.01,1.0,0.8,0.7802244719303983,4.765145540237427
100,8,0.01,0.8,1.0,0.7801981605057327,4.877854347229004
100,10,0.01,0.8,1.0,0.7801169684431507,6.535750865936279
300,6,0.001,1.0,0.8,0.7796972073085724,9.474721193313599
100,8,0.001,0.8,0.8,0.7794676467996176,4.623241186141968
100,6,0.001,0.8,0.8,0.7794342035372014,4.517910718917847
100,10,0.001,0.8,0.8,0.7794295944310221,5.6058876514434814
600,4,0.001,1.0,0.8,0.7790970728999767,11.580235242843628
600,6,0.001,1.0,0.8,0.7787669909826479,18.325143814086914
300,8,0.001,1.0,0.8,0.7786591641298546,12.9048011302948
1000,4,0.001,1.0,1.0,0.7786161884116246,20.23308491706848
300,10,0.001,1.0,0.8,0.7785624563267027,15.719588041305542
600,8,0.001,1.0,0.8,0.7782951152075614,25.690826654434204
600,10,0.001,1.0,0.8,0.7781062555290557,30.965709924697876
600,6,0.001,0.8,1.0,0.7776610960515634,18.351938247680664
300,4,0.001,1.0,0.8,0.7775972829563645,7.100883722305298
100,4,0.01,1.0,1.0,0.7775163291044814,3.5769340991973877
600,8,0.001,0.8,1.0,0.7773628493048824,24.01518702507019
